split,rows,start_date,end_date,close_mean,close_min,close_max,next_close_mean,next_close_min,next_close_max,target_return_mean,target_return_std,target_return_min,target_return_max
train,569,2023-04-24,2025-07-11,2421.4979,1820.01,3432.64,2423.8791,1820.01,3432.64,0.000959,0.009508,-0.034896,0.035822
validation,113,2025-07-14,2025-12-17,3792.3718,3275.25,4356.5,3801.1204,3275.25,4356.5,0.002362,0.011618,-0.053116,0.029047
test,77,2025-12-18,2026-04-07,4781.8883,4315.09,5327.42,4788.3244,4315.09,5327.42,0.001654,0.022025,-0.062484,0.058518
