"Date","Price","Open","High","Low","Vol.","Change %"
"2025/02/18","2,935.58","2,897.51","2,937.46","2,891.94","","1.31%"
"2025/02/17","2,897.66","2,883.55","2,906.69","2,887.20","","0.50%"
"2025/02/14","2,883.18","2,929.19","2,940.23","2,876.96","","-1.57%"
"2025/02/13","2,929.03","2,904.10","2,929.74","2,900.20","","0.87%"
"2025/02/12","2,903.66","2,898.90","2,909.16","2,864.01","","0.18%"
"2025/02/11","2,898.34","2,907.47","2,943.25","2,881.76","","-0.31%"
"2025/02/10","2,907.34","2,864.08","2,911.60","2,854.69","","1.64%"
"2025/02/07","2,860.39","2,856.60","2,886.96","2,852.55","","0.14%"
"2025/02/06","2,856.50","2,865.26","2,873.74","2,834.40","","-0.30%"
"2025/02/05","2,865.09","2,842.06","2,882.53","2,839.32","","0.81%"
"2025/02/04","2,841.94","2,814.80","2,845.57","2,806.90","","1.01%"
"2025/02/03","2,813.49","2,801.40","2,831.70","2,771.69","","0.45%"
"2025/01/31","2,801.00","2,794.04","2,817.57","2,790.78","","0.25%"
"2025/01/30","2,793.88","2,757.90","2,798.80","2,757.24","","1.31%"
"2025/01/29","2,757.71","2,763.48","2,766.53","2,744.71","","-0.20%"
"2025/01/28","2,763.11","2,742.57","2,765.18","2,734.68","","0.80%"
"2025/01/27","2,741.10","2,770.70","2,773.02","2,729.80","","-1.09%"
"2025/01/24","2,771.30","2,754.06","2,786.04","2,752.56","","0.64%"
"2025/01/23","2,753.69","2,755.96","2,759.06","2,735.85","","-0.05%"
"2025/01/22","2,755.02","2,745.08","2,763.72","2,741.83","121.32K","0.39%"
"2025/01/21","2,744.39","2,709.01","2,746.88","2,702.49","121.32K","1.34%"
"2025/01/20","2,708.06","2,702.51","2,714.40","2,689.32","121.32K","0.24%"
"2025/01/17","2,701.55","2,713.85","2,717.73","2,698.41","121.32K","-0.45%"
"2025/01/16","2,713.77","2,695.96","2,724.86","2,690.00","121.32K","0.67%"
"2025/01/15","2,695.82","2,677.29","2,697.85","2,669.04","121.32K","0.70%"
"2025/01/14","2,677.16","2,662.53","2,678.44","2,659.79","121.32K","0.56%"
"2025/01/13","2,662.12","2,689.35","2,693.77","2,656.73","121.32K","-1.02%"
"2025/01/10","2,689.63","2,670.74","2,698.57","2,663.65","121.32K","0.73%"
"2025/01/09","2,670.19","2,662.20","2,675.42","2,662.35","121.32K","0.31%"
"2025/01/08","2,662.06","2,649.85","2,670.60","2,645.03","121.32K","0.47%"
"2025/01/07","2,649.49","2,636.02","2,664.54","2,632.57","","0.54%"
"2025/01/06","2,635.33","2,641.00","2,649.62","2,614.60","","-0.14%"
"2025/01/03","2,639.12","2,657.29","2,665.47","2,636.40","","-0.68%"
"2025/01/02","2,657.16","2,626.60","2,660.85","2,621.51","","1.27%"
"2024/12/31","2,623.81","2,606.13","2,627.85","2,602.50","","0.71%"
"2024/12/30","2,605.39","2,620.30","2,628.61","2,595.90","","-0.56%"
"2024/12/27","2,620.00","2,634.59","2,638.74","2,611.30","","-0.55%"
"2024/12/26","2,634.43","2,619.79","2,639.40","2,614.13","","0.81%"
"2024/12/24","2,613.20","2,613.07","2,621.83","2,609.92","","0.01%"
"2024/12/23","2,612.93","2,622.24","2,633.60","2,607.97","","-0.30%"
"2024/12/20","2,620.77","2,593.97","2,631.92","2,589.56","","1.04%"
"2024/12/19","2,593.85","2,587.87","2,626.73","2,583.49","","0.24%"
"2024/12/18","2,587.63","2,645.68","2,652.08","2,586.52","","-2.19%"
"2024/12/17","2,645.54","2,652.63","2,659.22","2,633.00","","-0.26%"
"2024/12/16","2,652.50","2,649.10","2,664.83","2,643.34","","0.16%"
"2024/12/13","2,648.39","2,681.47","2,693.02","2,645.90","","-1.23%"
"2024/12/12","2,681.33","2,718.07","2,726.31","2,675.04","","-1.35%"
"2024/12/11","2,717.93","2,693.76","2,721.35","2,674.58","","0.90%"
"2024/12/10","2,693.64","2,658.82","2,695.79","2,657.95","","1.31%"
"2024/12/09","2,658.78","2,635.52","2,676.52","2,627.47","","0.98%"
"2024/12/06","2,632.91","2,632.18","2,645.69","2,613.57","","0.03%"
"2024/12/05","2,632.05","2,649.92","2,655.62","2,623.55","","-0.67%"
"2024/12/04","2,649.79","2,643.57","2,657.36","2,632.50","","0.24%"
"2024/12/03","2,643.44","2,639.05","2,655.71","2,634.12","121.32K","0.17%"
"2024/12/02","2,638.93","2,653.82","2,656.21","2,621.90","","-0.55%"
