feature,importance
open,0.0
high,0.0
low,0.0
close,0.0
lag_1,0.0
lag_2,0.0
lag_3,0.0
lag_5,0.0
lag_7,0.0
lag_14,0.0
rolling_mean_3,0.0
rolling_mean_7,0.0
rolling_mean_14,0.0
rolling_std_3,0.0
rolling_std_7,0.0
rolling_std_14,0.0
diff_1,0.0
diff_3,0.0
return_1,0.0
return_3,0.0
day_of_week,0.0
month,0.0
trend_index,0.0
close_to_rolling_mean_7,0.0
close_to_rolling_mean_14,0.0
volatility_ratio_7,0.0
volatility_ratio_14,0.0
trend_strength_3_14,0.0
